Округ;Регион;Город
Дальневосточный;Амурская область;Благовещенск
Дальневосточный;Еврейская автономная область;Биробиджан
Дальневосточный;Камчатский край;Петропавловск-Камчат
Дальневосточный;Магаданская область;Магадан
Дальневосточный;Приморский край;Владивосток
Дальневосточный;Приморский край;Уссурийск
Дальневосточный;Республика Саха (Якутия);Якутск
Дальневосточный;Сахалинская область;Южно-Сахалинск
Дальневосточный;Хабаровский край;Комсомольск-на-Амуре
Дальневосточный;Хабаровский край;Хабаровск
Приволжский;Кировская область;Киров
Приволжский;Нижегородская область;Арзамас
Приволжский;Нижегородская область;Нижний Новгород
Приволжский;Оренбургская область;Оренбург
Приволжский;Пензенская область;Пенза
Приволжский;Пермский край;Пермь
Приволжский;Пермский край;Соликамск
Приволжский;Республика Башкортостан;Бирск
Приволжский;Республика Башкортостан;Стерлитамак
Приволжский;Республика Башкортостан;Уфа
Приволжский;Республика Марий Эл;Йошкар-Ола
Приволжский;Республика Мордовия;Саранск
Приволжский;Республика Татарстан;Елабуга
Приволжский;Республика Татарстан;Казань
Приволжский;Республика Татарстан;Набережные Челны
Приволжский;Самарская область;Самара
Приволжский;Самарская область;Тольятти
Приволжский;Саратовская область;Саратов
Приволжский;Удмуртская Республика;Глазов
Приволжский;Удмуртская Республика;Ижевск
Приволжский;Ульяновская область;Ульяновск
Приволжский;Чувашская Республика;Чебоксары
Северо-Западный;Архангельская область;Архангельск
Северо-Западный;Вологодская область;Вологда
Северо-Западный;Вологодская область;Череповец
Северо-Западный;Калининградская область;Калининград
Северо-Западный;Мурманская область;Мурманск
Северо-Западный;Новгородская область;Великий Новгород
Северо-Западный;Псковская область;Псков
Северо-Западный;Республика Карелия;Петрозаводск
Северо-Западный;Республика Коми;Сыктывкар
Северо-Западный;Республика Коми;Ухта
Северо-Западный;Санкт-Петербург;Санкт-Петербург
Северо-Кавказский;Кабардино-Балкарская Республика;Нальчик
Северо-Кавказский;Карачаево-Черкесская Республика;Карачаевск
Северо-Кавказский;Карачаево-Черкесская Республика;Черкесск
Северо-Кавказский;Республика Дагестан;Махачкала
Северо-Кавказский;Республика Ингушетия;Магас
Северо-Кавказский;Республика Северная Осетия - Алания;Владикавказ
Северо-Кавказский;Ставропольский край;Пятигорск
Северо-Кавказский;Ставропольский край;Ставрополь
Северо-Кавказский;Чеченская Республика;Грозный
Сибирский;Алтайский край;Барнаул
Сибирский;Алтайский край;Бийск
Сибирский;Забайкальский край;Чита
Сибирский;Иркутская область;Ангарск
Сибирский;Иркутская область;Братск
Сибирский;Иркутская область;Иркутск
Сибирский;Кемеровская область;Кемерово
Сибирский;Кемеровская область;Новокузнецк
Сибирский;Красноярский край;Красноярск
Сибирский;Красноярский край;Норильск
Сибирский;Новосибирская область;Новосибирск
Сибирский;Омская область;Омск
Сибирский;Республика Алтай;Горно-Алтайск
Сибирский;Республика Бурятия;Улан-Удэ
Сибирский;Республика Тыва;Кызыл
Сибирский;Республика Хакасия;Абакан
Сибирский;Томская область;Томск
Уральский;Курганская область;Курган
Уральский;Курганская область;Шадринск
Уральский;Свердловская область;Екатеринбург
Уральский;Свердловская область;Нижний Тагил
Уральский;Тюменская область;Ишим
Уральский;Тюменская область;Тобольск
Уральский;Тюменская область;Тюмень
Уральский;Ханты-Мансийский автономный округ - Югра;Ханты-Мансийск
Уральский;Челябинская область;Магнитогорск
Уральский;Челябинская область;Челябинск
Центральный;Белгородская область;Белгород
Центральный;Брянская область;Брянск
Центральный;Владимирская область;Владимир
Центральный;Владимирская область;Ковров
Центральный;Воронежская область;Борисоглебск
Центральный;Воронежская область;Воронеж
Центральный;Ивановская область;Иваново
Центральный;Ивановская область;Шуя
Центральный;Калужская область;Калуга
Центральный;Калужская область;Обнинск
Центральный;Костромская область;Кострома
Центральный;Курская область;Курск
Центральный;Липецкая область;Елец
Центральный;Липецкая область;Липецк
Центральный;Москва;Москва
Центральный;Московская область;Долгопрудный
Центральный;Московская область;Мытищи
Центральный;Московская область;Пущино
Центральный;Московская область;Троицк
Центральный;Московская область;Электроизолятор
Центральный;Московская область;пос.Черкизово
Центральный;Орловская область;Орел
Центральный;Рязанская область;Рязань
Центральный;Смоленская область;Смоленск
Центральный;Тамбовская область;Мичуринск
Центральный;Тамбовская область;Тамбов
Центральный;Тверская область;Тверь
Центральный;Территории, находящиеся за пределами РФ;Бишкек
Центральный;Территории, находящиеся за пределами РФ;Душанбе
Центральный;Территории, находящиеся за пределами РФ;Ереван
Центральный;Территории, находящиеся за пределами РФ;Могилёв
Центральный;Тульская область;Тула
Центральный;Ярославская область;Переславль-Залесский
Центральный;Ярославская область;Рыбинск
Центральный;Ярославская область;Ярославль
Южный;Астраханская область;Астрахань
Южный;Волгоградская область;Волгоград
Южный;Краснодарский край;Армавир
Южный;Краснодарский край;Краснодар
Южный;Краснодарский край;Славянск-на-Кубани
Южный;Краснодарский край;Сочи
Южный;Республика Адыгея;Майкоп
Южный;Республика Калмыкия;Элиста
Южный;Ростовская область;Новочеркасск
Южный;Ростовская область;Ростов-на-Дону
Южный;Ростовская область;Таганрог
Южный;Ростовская область;Шахты
