Округ;Регион;Город
Сибирский;Хакасия;Абаза
Сибирский;Хакасия;Абакан
Приволжский;Оренбургская область;Абдулино
Южный;Краснодарский край;Абинск
Приволжский;Башкортостан;Агидель
Приволжский;Татарстан;Агрыз
Южный;Адыгея;Адыгейск
Приволжский;Татарстан;Азнакаево
Южный;Ростовская область;Азов
Сибирский;Тыва;Ак-Довурак
Южный;Ростовская область;Аксай
Северо-Кавказский;Северная Осетия;Алагир
Уральский;Свердловская область;Алапаевск
Приволжский;Чувашия;Алатырь
Дальневосточный;Якутия;Алдан
Сибирский;Алтайский край;Алейск
Центральный;Владимирская область;Александров
Дальневосточный;Сахалинская область;Александровск-Сахалинский
Приволжский;Пермский край;Александровск
Центральный;Белгородская область;Алексеевка
Центральный;Тульская область;Алексин
Сибирский;Иркутская область;Алзамай
Южный;Крым;Алупка
Южный;Крым;Алушта
Приволжский;Татарстан;Альметьевск
Дальневосточный;Хабаровский край;Амурск
Дальневосточный;Чукотский АО;Анадырь
Южный;Краснодарский край;Анапа
Сибирский;Иркутская область;Ангарск
Центральный;Тверская область;Андреаполь
Сибирский;Кемеровская область;Анжеро-Судженск
Дальневосточный;Сахалинская область;Анива
Северо-Западный;Мурманская область;Апатиты
Центральный;Московская область;Апрелевка
Южный;Краснодарский край;Апшеронск
Уральский;Свердловская область;Арамиль
Северо-Кавказский;Чечня;Аргун
Приволжский;Мордовия;Ардатов
Северо-Кавказский;Северная Осетия;Ардон
Приволжский;Нижегородская область;Арзамас
Приволжский;Саратовская область;Аркадак
Южный;Краснодарский край;Армавир
Южный;Крым;Армянск
Дальневосточный;Приморский край;Арсеньев
Приволжский;Татарстан;Арск
Дальневосточный;Приморский край;Артём
Сибирский;Красноярский край;Артёмовск
Уральский;Свердловская область;Артёмовский
Северо-Западный;Архангельская область;Архангельск
Уральский;Свердловская область;Асбест
Сибирский;Томская область;Асино
Южный;Астраханская область;Астрахань
Приволжский;Саратовская область;Аткарск
Южный;Астраханская область;Ахтубинск
Сибирский;Красноярский край;Ачинск
Северо-Кавказский;Чечня;Ачхой-Мартан
Уральский;Челябинская область;Аша
Северо-Западный;Вологодская область;Бабаево
